Nama Hotel,Harga,Rating,Lokasi
Mercure Jakarta Simatupang,Rp 660.330,8.3/10,"Lebak Bulus, Cilandak"
Hotel Orchardz Jayakarta,Rp 356.757,8.5/10,"Mangga Dua, Sawah Besar"
Mercure Jakarta Cikini,Rp 750.000,8.6/10,"Cikini, Menteng"
Azana Suite Hotel Antasari,Rp 565.111,8.8/10,"Cilandak Barat, Cilandak"
ARTOTEL Casa Kuningan,Rp 840.550,8.9/10,"Kuningan, Setiabudi"
DoubleTree by Hilton Jakarta Kemayoran,Rp 1.076.460,9.2/10,"Kemayoran, Jakarta Pusat"
Hotel Santika Premiere Hayam Wuruk Jakarta,Rp 771.171,8.6/10,"Glodok, Taman Sari"
Artotel Harmoni Jakarta,Rp 657.966,9.3/10,"Gajah Mada, Gambir"
Model J Hotel Jakarta Central Park,Rp 516.529,9.5/10,"Tomang, Grogol Petamburan"
Redtop Hotel & Convention Center,Rp 698.676,8.4/10,"Pecenongan, Gambir"
ibis Styles Jakarta Tanah Abang,Rp 590.124,8.6/10,"Tanah Abang, Jakarta Pusat"
The Residences at Puri Casablanca,Rp 536.531,8.3/10,"Casablanca, Tebet"
Grand Tropic Suites Hotel,Rp 544.819,7.9/10,"Tanjung Duren, Grogol Petamburan"
Grand Paragon Hotel,Rp 357.903,8.0/10,"Glodok, Taman Sari"
Holiday Inn & Suites JAKARTA GAJAH MADA by IHG,Rp 781.862,8.9/10,"Glodok, Taman Sari"
BEST WESTERN Mangga Dua Hotel & Residence,Rp 574.039,8.2/10,"Mangga Dua, Sawah Besar"
Royal Palm Hotel & Conference Center Cengkareng,Rp 376.647,8.3/10,"Cengkareng Timur, Cengkareng"
BW Kemayoran Hotel & Convention Powered by Archipelago,Rp 430.515,8.5/10,"Kemayoran, Jakarta Pusat"
"Sparks Life Jakarta, ARTOTEL Curated",Rp 408.771,8.2/10,"Mangga Besar, Taman Sari"
Golden Boutique Hotel Kemayoran,Rp 448.767,8.5,"Gunung Sahari, Kemayoran"
Luxury Inn Arion Hotel,Rp 362.475,8.5,"Rawamangun, Pulo Gadung"
Ambhara Hotel,Rp 425.054,8.2,"Melawai, Blok M"
Golden Boutique Hotel Melawai,Rp 487.820,8.4,"Melawai, Blok M"
Arimbi Pejaten Suites,Rp 312.958,7.8,"Ragunan, Cilandak"
Arion Suites Hotel Kemang,Rp 425.880,8.3/10,"Kemang, Mampang"
Midtown Residence Simatupang Jakarta,Rp 616.622,8.2/10,"Cilandak Barat, Cilandak"
Citadines Connect Airport Jakarta,Rp 603.306,9.4/10,"Benda, Cengkareng"
Somerset Kencana Jakarta,Rp 1.253.071,9.3/10,"Kebayoran Lama Selatan, Kebayoran Lama"
