Nama Hotel,Harga,Rating,Lokasi
Hotel Dafam Semarang,Rp 357.903,8.3/10,"Pendrikan Kidul, Semarang Tengah"
Wimarion Hotel Semarang,Rp 421.990,8.6/10,"Candisari, Semarang"
Hidden Haven at  WR – Warhole,Rp 291.769,8.3/10,"Pleburan, Semarang Selatan"
VIDTORY Residence,Rp 217.035,8.7,"Gajahmungkur, Semarang"
Front One HK Resort Simpanglima,Rp 235.761,8.5,"Gajahmungkur, Semarang"
Tugu Indah Hotel,Rp 195.163,7.7,"Ngaliyan, Semarang"
Hotel Neo Candi Simpang Lima - Semarang by ASTON,Rp 261.178,8.2,"Gajahmungkur, Semarang"
Hotel Marina Airport Semarang,Rp 159.973,8.4,"Tawangsari, Semarang Barat"
Susan Spa & Resort,Rp 653.581,8.5/10,"Bandungan, Semarang"
Metro Park View Hotel Kota Lama Semarang,Rp 620.039,N/A,"Kauman, Semarang Tengah"
Apartemen Pinnacle Pandanaran Semarang,Rp 464.876,N/A,"Pekunden, Semarang Tengah"
Melva Balemong,Rp 556.511,8.7/10,"Ungaran, Semarang"
Kopeng Treetop Adventure Park (Treetop Cabin),Rp 2.724.545,9.2/10,"Getasan, Semarang"
Wahid Bandungan Hotel & Resort,Rp 885.124,9.3/10,"Ambarawa, Semarang"
Vina Guesthouse Pudakpayung,Rp 661.157,N/A,"Banyumanik, Semarang"
METRO PARK VIEW HOTEL KOTA LAMA SEMARANG,Rp 606.834,N/A,"Kauman, Semarang Tengah"
