Nama Hotel,Harga,Rating,Lokasi,Area Pencarian
Horison Ultima Sentraland Simpang Lima Semarang,Rp 482.691,9.2/10,"Karangkidul, Semarang Tengah",Semarang Utara
Wimarion Hotel Semarang,Rp 421.990,8.6/10,"Candisari, Semarang",Semarang Utara
Hotel Dafam Semarang,Rp 357.903,8.3/10,"Pendrikan Kidul, Semarang Tengah",Semarang Utara
Wahid Bandungan Hotel & Resort,Rp 885.124,9.3/10,"Ambarawa, Semarang",Semarang Utara
Susan Spa & Resort,Rp 653.581,8.5/10,"Bandungan, Semarang",Semarang Utara
Kopeng Treetop Adventure Park (Treetop Cabin),Rp 2.724.545,9.2/10,"Getasan, Semarang",Semarang Utara
Melva Balemong,Rp 556.511,8.7/10,"Ungaran, Semarang",Semarang Utara
Metro Park View Hotel Kota Lama Semarang,Rp 620.039,N/A,"Kauman, Semarang Tengah",Semarang Utara
Vina Guesthouse Pudakpayung,Rp 661.157,N/A,"Banyumanik, Semarang",Semarang Utara
Apartemen Pinnacle Pandanaran Semarang,Rp 464.876,N/A,"Pekunden, Semarang Tengah",Semarang Utara
Hidden Haven at  WR – Warhole,Rp 291.769,8.3/10,"Pleburan, Semarang Selatan",Semarang Utara
METRO PARK VIEW HOTEL KOTA LAMA SEMARANG,Rp 606.834,N/A,"Kauman, Semarang Tengah",Semarang Utara
The Wujil Resort & Conventions,Rp 692.056,8.7/10,"Ungaran, Semarang",Semarang Tengah
Oak Tree Emerald Hotel & Conventions Semarang,Rp 327.600,8.7/10,"Gajahmungkur, Semarang",Semarang Tengah
Front One HK Resort Simpanglima,Rp 235.761,8.5/10,"Gajahmungkur, Semarang",Semarang Tengah
Griya Persada Convention Hotel & Resort,Rp 480.000,8.7/10,"Bandungan, Semarang",Semarang Tengah
The Azana Hotel Airport Semarang,Rp 715.234,8.4/10,"Gisikdrono, Semarang Barat",Semarang Tengah
Hotel Neo Candi Simpang Lima - Semarang by ASTON,Rp 261.178,8.2,"Gajahmungkur, Semarang",Semarang
VIDTORY Residence,Rp 217.035,8.7,"Gajahmungkur, Semarang",Semarang
Hotel Marina Airport Semarang,Rp 159.973,8.4,"Tawangsari, Semarang Barat",Semarang
Tugu Indah Hotel,Rp 195.163,7.7,"Ngaliyan, Semarang",Semarang
