Nama Hotel,Harga,Rating,Lokasi
MaxOneHotels Premier Melawai,Rp 391.704,9.3/10,"Melawai, Blok M"
Grand Whiz Poins Simatupang Jakarta,Rp 441.523,8.5/10,"Lebak Bulus, Cilandak"
Swiss-Belhotel Pondok Indah,Rp 598.638,8.4/10,"Pondok Indah, Kebayoran Lama"
Swiss-Belinn Kemayoran,Rp 445.536,8.3/10,"Kemayoran, Jakarta Pusat"
"Hotel Mulia Senayan, Jakarta",Rp 2.193.529,8.8/10,"Senayan, Kebayoran Baru"
Arthama Tanah Abang Jakarta,Rp 416.098,8.6/10,"Kebon Kacang, Tanah Abang"
Kimaya Slipi Jakarta by Harris,Rp 525.184,8.7/10,"Slipi, Palmerah"
Hotel Orchardz Industri Kemayoran,Rp 379.054,8.5/10,"Gunung Sahari, Kemayoran"
Avenzel Hotel & Convention Cibubur,Rp 697.190,9.3/10,"Jakarta Timur, Jakarta"
Luminor Hotel Pecenongan Jakarta By WH,Rp 586.326,8.5/10,"Harmoni, Gambir"
"The Orient Jakarta, a Royal Hideaway Hotel",Rp 1.590.909,9.2/10,"Sudirman, Jakarta Pusat"
Goodrich Suites Jakarta,Rp 943.489,9.1/10,"Cipete Utara, Cilandak"
Somerset Berlian Jakarta,Rp 1.215.000,8.5/10,"Permata Hijau, Kebayoran Lama"
ASHLEY NEWAIR Menteng with Air Purifier,Rp 772.245,9.6/10,"Gondangdia, Menteng"
Neo Hotel Puri Indah by ASTON,Rp 428.490,8.4/10,"Puri Kembangan, Kembangan"
ELONG Hotel Jakarta PIK,Rp 1.210.719,9.4/10,"Kapuk Muara, Penjaringan"
d'primahotel Melawai - Blok M,Rp 348.075,8.3/10,"Melawai, Blok M"
DENZ Premiere Mahakam,Rp 196.834,8.5/10,"Mahakam, Blok M"
Hilton Garden Inn Jakarta Taman Palem,Rp 1.178.980,8.7/10,"Cengkareng Barat, Cengkareng"
Batavia Hotel & Serviced Apartments Jakarta,Rp 435.683,8.3,"Karet Tengsin, Tanah Abang"
Mega Anggrek Hotel Jakarta Slipi,Rp 272.404,8.1,"Kemanggisan, Palmerah"
Apartemen Bassura City by Aparian,Rp 255.036,8.2,"Cipinang, Jatinegara"
Apartemen Green Pramuka City by Aparian,Rp 259.727,8.0,"Rawasari, Cempaka Putih"
JS Luwansa Hotel And Convention Center,Rp 753.481,8.6,"Rasuna Said, Setiabudi"
Hotel Menara Peninsula,Rp 478.163,8.3/10,"Slipi, Palmerah"
Golden Boutique Hotel Kemayoran,Rp 448.767,8.5/10,"Gunung Sahari, Kemayoran"
ARTOTEL Hub Simpang Temu,Rp 545.168,9.4/10,"Thamrin, Jakarta Pusat"
The Bellezza Hotel Suites Senayan by Nemuru,Rp 553.699,8.3/10,"Permata Hijau, Kebayoran Lama"
